Job Title,Company,Location,Pay
Power Platform Developer- Not a remote role,Home Mortgage Alliance Company (HMAC),"Santa Ana, CA 92707","$68,000 - $80,000 a year"
C++/C# Software Developer,TruAbutment Inc.,"Irvine, CA 92614(San Joaquin Marsh area)","$70,000 - $120,000 a year"
N/A,Quick Quack Car Wash,Remote in California,"$100,000 - $120,000 a year"
Junior Webflow Developer,Dr. Vigor,"Irvine, CA 92618(Irvine Health and Science Complex area)",N/A
Programmer Analyst,"Intratek Computer, Inc.","Orange, CA 92614",N/A
Solutions Engineer,Capital Group Companies,"Irvine, CA","$78,567 - $125,707 a year"
C++ Windows Developer_ Onsite CA,Ennsee Technologies,"Lake Forest, CA 92610","$150,000 - $200,000 a year"
Software Project Co-Ordinator,Dynamics eShop Inc.,"Lake Forest, CA 92610",N/A
DevOps Engineer,Chipotle,"Newport Beach, CA 92660",N/A
TMS Developer,BTI Solutions,"Santa Ana, CA",Full-time
Senior .NET Developer,InfoSwift,"Irvine, CA 92618",N/A
Sales Engineer / Software QA Engineer,Melissa,"Hybrid work in Rancho Santa Margarita, CA 92688",$30 - $35 an hour
Apartments.com - Fullstack Software Engineer (.Net/C#/angular),CoStar Group,"Hybrid work in Orange County, CA","$103,700 a year"
"Software Engineer, Platform Security",Blizzard Entertainment,"Hybrid work in Irvine, CA 92618",N/A
"Software Engineer, UI & Gameplay â€“ World of Warcraft | Irvine, CA or Boston, MA",Blizzard Entertainment,"Hybrid work in Irvine, CA 92618",N/A
